trait	cho	clm
Sex hormone-binding globulin levels	0.392857142857143;0.392857142857143;0.392857142857143;0.428571428571429;0.321428571428571;0.392857142857143;0.357142857142857;0.321428571428571;0.285714285714286;0.214285714285714;0.357142857142857;0.392857142857143;0.392857142857143;0.392857142857143;0.464285714285714;0.392857142857143;0.285714285714286;0.321428571428571;0.357142857142857;0.321428571428571;0.392857142857143;0.535714285714286;0.357142857142857;0.285714285714286;0.214285714285714;0.464285714285714;0.392857142857143;0.321428571428571;0.321428571428571;0.285714285714286;0.392857142857143;0.357142857142857;0.357142857142857;0.428571428571429;0.357142857142857;0.5;0.392857142857143;0.392857142857143;0.392857142857143;0.25;0.25;0.25;0.464285714285714;0.392857142857143;0.321428571428571;0.321428571428571;0.464285714285714;0.25;0.428571428571429;0.5;0.464285714285714;0.428571428571429;0.25;0.25;0.285714285714286;0.464285714285714;0.285714285714286;0.285714285714286;0.5;0.25;0.428571428571429;0.392857142857143;0.321428571428571;0.321428571428571;0.357142857142857;0.392857142857143;0.392857142857143;0.392857142857143;0.428571428571429;0.285714285714286;0.285714285714286;0.321428571428571;0.357142857142857;0.321428571428571;0.357142857142857;0.285714285714286;0.5;0.357142857142857;0.357142857142857;0.321428571428571;0.214285714285714;0.5;0.285714285714286;0.5;0.321428571428571;0.392857142857143;0.285714285714286;0.285714285714286;0.25;0.25;0.357142857142857;0.571428571428571;0.321428571428571;0.428571428571429	0.333333333333333;0.3;0.333333333333333;0.333333333333333;0.333333333333333;0.233333333333333;0.2;0.2;0.366666666666667;0.333333333333333;0.3;0.266666666666667;0.266666666666667;0.266666666666667;0.433333333333333;0.233333333333333;0.366666666666667;0.233333333333333;0.3;0.233333333333333;0.2;0.233333333333333;0.2;0.4;0.466666666666667;0.2;0.333333333333333;0.266666666666667;0.366666666666667;0.266666666666667;0.166666666666667;0.366666666666667;0.333333333333333;0.4;0.466666666666667;0.433333333333333;0.233333333333333;0.2;0.3;0.3;0.233333333333333;0.266666666666667;0.3;0.333333333333333;0.3;0.233333333333333;0.233333333333333;0.166666666666667;0.266666666666667;0.333333333333333;0.266666666666667;0.3;0.333333333333333;0.266666666666667;0.2;0.266666666666667;0.3;0.333333333333333;0.366666666666667;0.433333333333333;0.133333333333333;0.333333333333333;0.3;0.3;0.333333333333333;0.233333333333333;0.266666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.3;0.366666666666667;0.366666666666667;0.333333333333333;0.433333333333333;0.366666666666667;0.233333333333333;0.266666666666667;0.233333333333333;0.2;0.133333333333333;0.3;0.2;0.3;0.433333333333333;0.166666666666667;0.233333333333333;0.266666666666667;0.2;0.366666666666667;0.3;0.333333333333333;0.366666666666667
Sex hormone levels	0.2;0;0.3;0.1;0.3;0;0.1;0;0;0.2;0.1;0.1;0.1;0.1;0;0;0;0.2;0;0.1;0.2;0.2;0;0.2;0;0;0.3;0.1;0;0;0.1;0.1;0;0.3;0;0.1;0.2;0.1;0.2;0;0;0;0.1;0.1;0;0;0.1;0.1;0.1;0;0.2;0.3;0.2;0;0.1;0;0.2;0.2;0;0;0.1;0;0.1;0;0.1;0.2;0.2;0.1;0.1;0.1;0.2;0;0;0;0.2;0;0.2;0.1;0;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.2;0.3;0.1;0.1;0.2;0.2;0.1;0.1	0;0.0833333333333333;0.0833333333333333;0;0;0.0833333333333333;0;0.0833333333333333;0;0.166666666666667;0;0;0;0;0.166666666666667;0;0.0833333333333333;0.0833333333333333;0.25;0.0833333333333333;0;0.0833333333333333;0.0833333333333333;0.0833333333333333;0.0833333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0;0.25;0.25;0.0833333333333333;0;0;0.0833333333333333;0.166666666666667;0.0833333333333333;0;0;0.166666666666667;0.0833333333333333;0.166666666666667;0.166666666666667;0.0833333333333333;0;0;0.333333333333333;0.166666666666667;0.0833333333333333;0.25;0;0;0;0;0;0;0.0833333333333333;0;0.166666666666667;0.25;0;0.0833333333333333;0.0833333333333333;0.166666666666667;0.0833333333333333;0.166666666666667;0.333333333333333;0;0;0.166666666666667;0.0833333333333333;0.0833333333333333;0;0;0;0.0833333333333333;0.166666666666667;0;0.166666666666667;0;0;0;0.333333333333333;0.166666666666667;0;0;0.25;0;0;0.0833333333333333;0.0833333333333333;0.0833333333333333;0;0.0833333333333333
Sexual dimorphism in anthropometric traits	0.4;0.3;0.4;0.4;0.5;0.4;0.35;0.5;0.3;0.4;0.3;0.4;0.35;0.35;0.45;0.25;0.4;0.35;0.25;0.2;0.55;0.4;0.4;0.45;0.35;0.3;0.4;0.35;0.35;0.25;0.3;0.55;0.4;0.4;0.5;0.5;0.45;0.4;0.5;0.45;0.5;0.25;0.4;0.3;0.35;0.35;0.4;0.35;0.3;0.3;0.45;0.25;0.4;0.45;0.45;0.5;0.35;0.3;0.4;0.4;0.55;0.25;0.35;0.55;0.45;0.5;0.35;0.5;0.25;0.35;0.4;0.35;0.35;0.4;0.4;0.4;0.45;0.5;0.45;0.4;0.25;0.4;0.45;0.45;0.55;0.3;0.35;0.35;0.35;0.5;0.25;0.5;0.35;0.4	0.4;0.3;0.4;0.55;0.4;0.55;0.45;0.65;0.4;0.5;0.5;0.5;0.4;0.6;0.4;0.3;0.5;0.45;0.3;0.4;0.45;0.4;0.4;0.5;0.3;0.3;0.4;0.45;0.5;0.3;0.45;0.4;0.45;0.5;0.25;0.55;0.4;0.25;0.4;0.55;0.45;0.6;0.3;0.45;0.5;0.6;0.5;0.4;0.35;0.35;0.35;0.4;0.5;0.4;0.55;0.55;0.35;0.4;0.4;0.3;0.35;0.4;0.5;0.45;0.55;0.4;0.3;0.6;0.45;0.5;0.55;0.35;0.4;0.3;0.4;0.5;0.4;0.6;0.4;0.45;0.35;0.5;0.4;0.4;0.5;0.5;0.45;0.4;0.55;0.55;0.55;0.4;0.55;0.45
Sexual dysfunction female	1;1;0.833333333333333;0.833333333333333;1;1;0.666666666666667;1;1;1;1;0.833333333333333;0.833333333333333;1;1;1;1;0.833333333333333;0.666666666666667;0.833333333333333;1;0.833333333333333;0.833333333333333;1;0.666666666666667;1;1;0.666666666666667;1;0.833333333333333;1;0.833333333333333;0.833333333333333;1;0.666666666666667;0.833333333333333;1;0.833333333333333;1;1;0.833333333333333;0.666666666666667;1;1;1;1;0.833333333333333;0.833333333333333;0.833333333333333;1;0.833333333333333;1;1;0.833333333333333;1;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;1;1;0.833333333333333;1;1;0.833333333333333;1;1;1;0.833333333333333;0.833333333333333;1;1;1;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;1;1;0.833333333333333;0.833333333333333;0.833333333333333;0.833333333333333;1;1;1;0.833333333333333;1;1;1;1;1;1	1;0.666666666666667;0.833333333333333;0.833333333333333;0.666666666666667;1;0.666666666666667;0.833333333333333;0.666666666666667;0.833333333333333;1;0.666666666666667;0.833333333333333;1;1;1;1;0.666666666666667;0.833333333333333;1;0.5;0.833333333333333;1;0.666666666666667;1;0.833333333333333;0.833333333333333;0.5;1;1;1;0.333333333333333;0.833333333333333;0.833333333333333;0.666666666666667;0.833333333333333;0.666666666666667;1;0.666666666666667;0.666666666666667;1;1;0.833333333333333;0.833333333333333;1;0.833333333333333;0.833333333333333;1;1;0.833333333333333;1;0.833333333333333;1;0.833333333333333;1;0.666666666666667;1;0.833333333333333;1;0.833333333333333;1;0.833333333333333;0.833333333333333;0.833333333333333;0.5;1;0.833333333333333;0.666666666666667;0.666666666666667;1;0.666666666666667;1;0.833333333333333;0.833333333333333;0.833333333333333;1;0.833333333333333;0.833333333333333;1;1;1;0.666666666666667;0.666666666666667;1;1;1;0.5;1;0.666666666666667;0.833333333333333;0.833333333333333;1;1;0.833333333333333
Sexual dysfunction SSRI-over-SNRI-related	0;0;0.25;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0.125;0.125;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0.125;0;0;0.125;0;0;0;0.125;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0.125;0	0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.3;0.2;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.2;0.3;0.2;0.1;0.2;0.2;0.3;0.2;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.2;0.2;0.2;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.2;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.3
Shingles	0.75;0.75;0.5;1;0.75;0.5;0.5;0.5;0.75;0.75;1;0.75;0.75;0.75;0.5;0.5;0.25;0.5;1;0.5;0.75;0.25;0.75;1;1;0.5;1;0.75;0.5;0.75;1;0.75;0.75;0.75;0.25;1;0.75;0.5;1;0.75;1;0.75;0.5;0.75;1;1;0.5;0.25;0.75;0.75;0.5;0.25;0.25;1;0.5;0.25;0.25;0.75;0.25;0.75;0.25;0.75;0.75;0.5;0.5;0.25;0.75;1;0.5;1;0.75;0.5;0.25;0.75;0.75;1;0.75;1;0.25;0.75;0.5;0.25;0.5;0.75;0.5;0.5;0;0.5;1;0.5;0.75;0.25;0.75;0.5	0.5;0.25;0.5;0.375;0.25;0.25;0.625;0.5;0.625;0.375;0.625;0.375;0.375;0.375;0.5;0.375;0.375;0.125;0.25;0.375;0.625;0.75;0.375;0.375;0.375;0.75;0.5;0.25;0.5;0.25;0.625;0.5;0.625;0.5;0.625;0.375;0.625;0.25;0.375;0.25;0.5;0.5;0.125;0.375;0.375;0.375;0.5;0.5;0.375;0.375;0.5;0.375;0.125;0.25;0.5;0.375;0.375;0.25;0.375;0.25;0.5;0.625;0.625;0.625;0.625;0.5;0.375;0.75;0.5;0.625;0.375;0.5;0.25;0.625;0.375;0.375;0.25;0.5;0.375;0.375;0.375;0.625;0.5;0.5;0.375;0.375;0.125;0.25;0.625;0.5;0.5;0.125;0.25;0.375
Sickle cell anemia haemolysis	0.166666666666667;0;0;0.166666666666667;0;0;0;0;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0;0.166666666666667;0;0;0.166666666666667;0;0;0.166666666666667;0;0.166666666666667;0.166666666666667;0;0.166666666666667;0;0.166666666666667;0.333333333333333;0.333333333333333;0;0.333333333333333;0.333333333333333;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0;0;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0;0.333333333333333;0;0;0;0.166666666666667;0.166666666666667;0.166666666666667;0;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0;0.166666666666667;0;0.166666666666667;0;0.333333333333333;0;0.166666666666667;0.333333333333333;0;0.166666666666667;0.166666666666667;0.166666666666667;0;0;0;0;0.166666666666667;0;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0;0.166666666666667;0.166666666666667;0;0.333333333333333;0;0.166666666666667;0.333333333333333	0.333333333333333;0;0;0.166666666666667;0;0.166666666666667;0;0.166666666666667;0;0.333333333333333;0.333333333333333;0.166666666666667;0;0;0.166666666666667;0;0;0.166666666666667;0.166666666666667;0;0.166666666666667;0.333333333333333;0.166666666666667;0;0;0.333333333333333;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0.166666666666667;0;0.166666666666667;0.166666666666667;0;0.166666666666667;0.166666666666667;0;0.333333333333333;0;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0;0;0.166666666666667;0;0.333333333333333;0;0;0.166666666666667;0.166666666666667;0;0.333333333333333;0.166666666666667;0.166666666666667;0.166666666666667;0.166666666666667;0;0.333333333333333;0.166666666666667;0.333333333333333;0.333333333333333;0;0.166666666666667;0.166666666666667;0;0.333333333333333;0.166666666666667;0;0.166666666666667;0.166666666666667;0.333333333333333;0.166666666666667;0;0
Sitting height ratio	0.604651162790698;0.441860465116279;0.5;0.488372093023256;0.453488372093023;0.616279069767442;0.569767441860465;0.383720930232558;0.523255813953488;0.441860465116279;0.5;0.534883720930233;0.441860465116279;0.523255813953488;0.465116279069767;0.476744186046512;0.558139534883721;0.441860465116279;0.534883720930233;0.406976744186047;0.488372093023256;0.569767441860465;0.5;0.441860465116279;0.5;0.430232558139535;0.488372093023256;0.488372093023256;0.5;0.465116279069767;0.418604651162791;0.418604651162791;0.546511627906977;0.441860465116279;0.453488372093023;0.406976744186047;0.593023255813954;0.441860465116279;0.488372093023256;0.534883720930233;0.5;0.569767441860465;0.441860465116279;0.511627906976744;0.534883720930233;0.430232558139535;0.488372093023256;0.476744186046512;0.5;0.511627906976744;0.465116279069767;0.465116279069767;0.5;0.465116279069767;0.534883720930233;0.441860465116279;0.511627906976744;0.453488372093023;0.569767441860465;0.488372093023256;0.476744186046512;0.383720930232558;0.558139534883721;0.453488372093023;0.523255813953488;0.383720930232558;0.488372093023256;0.430232558139535;0.453488372093023;0.546511627906977;0.488372093023256;0.406976744186047;0.453488372093023;0.5;0.523255813953488;0.430232558139535;0.465116279069767;0.430232558139535;0.534883720930233;0.395348837209302;0.441860465116279;0.5;0.430232558139535;0.430232558139535;0.488372093023256;0.430232558139535;0.430232558139535;0.5;0.534883720930233;0.523255813953488;0.5;0.546511627906977;0.534883720930233;0.441860465116279	0.430232558139535;0.441860465116279;0.441860465116279;0.418604651162791;0.406976744186047;0.523255813953488;0.465116279069767;0.418604651162791;0.383720930232558;0.546511627906977;0.488372093023256;0.348837209302326;0.5;0.465116279069767;0.476744186046512;0.395348837209302;0.476744186046512;0.430232558139535;0.5;0.546511627906977;0.523255813953488;0.418604651162791;0.418604651162791;0.488372093023256;0.441860465116279;0.476744186046512;0.523255813953488;0.36046511627907;0.418604651162791;0.453488372093023;0.465116279069767;0.558139534883721;0.488372093023256;0.523255813953488;0.406976744186047;0.441860465116279;0.488372093023256;0.534883720930233;0.430232558139535;0.453488372093023;0.488372093023256;0.418604651162791;0.488372093023256;0.476744186046512;0.348837209302326;0.476744186046512;0.395348837209302;0.395348837209302;0.383720930232558;0.5;0.441860465116279;0.430232558139535;0.418604651162791;0.5;0.372093023255814;0.453488372093023;0.453488372093023;0.406976744186047;0.372093023255814;0.395348837209302;0.511627906976744;0.430232558139535;0.418604651162791;0.5;0.453488372093023;0.465116279069767;0.441860465116279;0.5;0.488372093023256;0.534883720930233;0.476744186046512;0.441860465116279;0.406976744186047;0.441860465116279;0.337209302325581;0.418604651162791;0.453488372093023;0.418604651162791;0.465116279069767;0.325581395348837;0.430232558139535;0.406976744186047;0.523255813953488;0.476744186046512;0.430232558139535;0.395348837209302;0.511627906976744;0.453488372093023;0.406976744186047;0.395348837209302;0.441860465116279;0.372093023255814;0.465116279069767;0.430232558139535
Sjögren's syndrome	0.239130434782609;0.326086956521739;0.282608695652174;0.260869565217391;0.217391304347826;0.434782608695652;0.195652173913043;0.217391304347826;0.347826086956522;0.239130434782609;0.260869565217391;0.282608695652174;0.130434782608696;0.282608695652174;0.217391304347826;0.304347826086957;0.304347826086957;0.260869565217391;0.369565217391304;0.260869565217391;0.304347826086957;0.326086956521739;0.304347826086957;0.282608695652174;0.282608695652174;0.195652173913043;0.217391304347826;0.217391304347826;0.282608695652174;0.304347826086957;0.304347826086957;0.217391304347826;0.130434782608696;0.304347826086957;0.217391304347826;0.239130434782609;0.217391304347826;0.239130434782609;0.239130434782609;0.326086956521739;0.282608695652174;0.173913043478261;0.260869565217391;0.260869565217391;0.282608695652174;0.304347826086957;0.260869565217391;0.173913043478261;0.173913043478261;0.260869565217391;0.282608695652174;0.391304347826087;0.282608695652174;0.195652173913043;0.239130434782609;0.282608695652174;0.239130434782609;0.217391304347826;0.282608695652174;0.326086956521739;0.347826086956522;0.130434782608696;0.304347826086957;0.282608695652174;0.282608695652174;0.347826086956522;0.326086956521739;0.195652173913043;0.239130434782609;0.217391304347826;0.260869565217391;0.239130434782609;0.260869565217391;0.239130434782609;0.391304347826087;0.282608695652174;0.239130434782609;0.369565217391304;0.173913043478261;0.304347826086957;0.282608695652174;0.260869565217391;0.152173913043478;0.260869565217391;0.195652173913043;0.326086956521739;0.282608695652174;0.347826086956522;0.108695652173913;0.369565217391304;0.195652173913043;0.326086956521739;0.239130434782609;0.239130434782609	0.3125;0.291666666666667;0.375;0.354166666666667;0.3125;0.3125;0.291666666666667;0.3125;0.3125;0.416666666666667;0.333333333333333;0.291666666666667;0.270833333333333;0.208333333333333;0.4375;0.270833333333333;0.354166666666667;0.354166666666667;0.25;0.229166666666667;0.3125;0.291666666666667;0.375;0.1875;0.3125;0.3125;0.25;0.270833333333333;0.291666666666667;0.208333333333333;0.270833333333333;0.1875;0.354166666666667;0.333333333333333;0.375;0.416666666666667;0.354166666666667;0.270833333333333;0.270833333333333;0.229166666666667;0.3125;0.270833333333333;0.270833333333333;0.375;0.3125;0.3125;0.333333333333333;0.270833333333333;0.333333333333333;0.354166666666667;0.291666666666667;0.4375;0.3125;0.395833333333333;0.375;0.479166666666667;0.354166666666667;0.25;0.354166666666667;0.4375;0.270833333333333;0.333333333333333;0.270833333333333;0.291666666666667;0.291666666666667;0.3125;0.229166666666667;0.25;0.354166666666667;0.1875;0.270833333333333;0.395833333333333;0.208333333333333;0.208333333333333;0.291666666666667;0.270833333333333;0.229166666666667;0.333333333333333;0.145833333333333;0.333333333333333;0.375;0.270833333333333;0.354166666666667;0.229166666666667;0.354166666666667;0.333333333333333;0.291666666666667;0.3125;0.4375;0.291666666666667;0.291666666666667;0.3125;0.333333333333333;0.354166666666667
Skin aging microtopography measurement	0.583333333333333;0.666666666666667;0.541666666666667;0.458333333333333;0.625;0.5;0.541666666666667;0.416666666666667;0.541666666666667;0.666666666666667;0.666666666666667;0.541666666666667;0.666666666666667;0.5;0.458333333333333;0.583333333333333;0.541666666666667;0.458333333333333;0.666666666666667;0.375;0.541666666666667;0.583333333333333;0.5;0.583333333333333;0.458333333333333;0.458333333333333;0.708333333333333;0.541666666666667;0.541666666666667;0.625;0.583333333333333;0.625;0.5;0.416666666666667;0.458333333333333;0.583333333333333;0.5;0.458333333333333;0.5;0.666666666666667;0.625;0.333333333333333;0.5;0.5;0.583333333333333;0.5;0.583333333333333;0.541666666666667;0.625;0.5;0.583333333333333;0.5;0.625;0.583333333333333;0.5;0.541666666666667;0.583333333333333;0.541666666666667;0.458333333333333;0.375;0.5;0.541666666666667;0.541666666666667;0.583333333333333;0.458333333333333;0.583333333333333;0.541666666666667;0.5;0.5;0.458333333333333;0.708333333333333;0.583333333333333;0.541666666666667;0.5;0.5;0.541666666666667;0.541666666666667;0.583333333333333;0.458333333333333;0.625;0.708333333333333;0.625;0.541666666666667;0.541666666666667;0.625;0.625;0.458333333333333;0.541666666666667;0.416666666666667;0.625;0.583333333333333;0.458333333333333;0.666666666666667;0.541666666666667	0.791666666666667;0.708333333333333;0.583333333333333;0.666666666666667;0.75;0.541666666666667;0.583333333333333;0.75;0.541666666666667;0.541666666666667;0.666666666666667;0.625;0.625;0.708333333333333;0.5;0.583333333333333;0.625;0.583333333333333;0.541666666666667;0.583333333333333;0.666666666666667;0.75;0.5;0.75;0.583333333333333;0.583333333333333;0.75;0.708333333333333;0.666666666666667;0.5;0.625;0.625;0.708333333333333;0.666666666666667;0.541666666666667;0.583333333333333;0.708333333333333;0.458333333333333;0.708333333333333;0.583333333333333;0.666666666666667;0.583333333333333;0.666666666666667;0.666666666666667;0.708333333333333;0.708333333333333;0.625;0.625;0.666666666666667;0.625;0.625;0.541666666666667;0.708333333333333;0.541666666666667;0.458333333333333;0.625;0.666666666666667;0.791666666666667;0.5;0.541666666666667;0.791666666666667;0.75;0.5;0.541666666666667;0.583333333333333;0.583333333333333;0.583333333333333;0.583333333333333;0.583333333333333;0.791666666666667;0.333333333333333;0.458333333333333;0.625;0.708333333333333;0.625;0.583333333333333;0.541666666666667;0.625;0.666666666666667;0.458333333333333;0.708333333333333;0.541666666666667;0.583333333333333;0.625;0.583333333333333;0.666666666666667;0.5;0.666666666666667;0.75;0.583333333333333;0.75;0.5;0.666666666666667;0.583333333333333
Skin colour saturation	0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.75;0.75;0.25;0.25;0.375;0.25;0.5;0.375;0.625;0.75;0.5;0.5;0.5;0.625;0.375;0.5;0.375;0.375;0.625;0.375;0.5;0.625;0.375;0.625;0.5;0.5;0.375;0.375;0.5;0.375;0.375;0.375;0.625;0.375;0.375;0.625;0.75;0.625;0.375;0.625;0.625;0.25;0.625;0.625;0.5;0.5;0.75;0.5;0.75;0.625;0.375;0.5;0.5;0.5;0.375;0.375;0.625;0.5;0.5;0.5;0.5;0.75;0.625;0.75;0.5;0.25;0.5;0.25;0.75;0.375;0.5;0.625;0.5;0.5;0.625;0.5;0.625;0.5;0.5;0.5;0.625;0.25;0.5;0.625;0.25;0.5;0.625	0.2;0.1;0.1;0.4;0.2;0.3;0.1;0.3;0.4;0.2;0.3;0.2;0.2;0.2;0.4;0.1;0.2;0.4;0.1;0.1;0.3;0.3;0.1;0.3;0.7;0.3;0.3;0.1;0.2;0.3;0.2;0.3;0.1;0.2;0.3;0.4;0.2;0.1;0.1;0.4;0.3;0.1;0.2;0.2;0.2;0.5;0.4;0.1;0.1;0.4;0.3;0.5;0.2;0.1;0.2;0.1;0.4;0.3;0.2;0.4;0.3;0.4;0.3;0.3;0.2;0.2;0.2;0.3;0.2;0.2;0.4;0.1;0.4;0.2;0.3;0.2;0.2;0.2;0.2;0.2;0.1;0.4;0.2;0.3;0.3;0.1;0.3;0.2;0.2;0.3;0.3;0.6;0.2;0
Skin pigmentation	0.268292682926829;0.304878048780488;0.195121951219512;0.268292682926829;0.24390243902439;0.219512195121951;0.24390243902439;0.268292682926829;0.317073170731707;0.280487804878049;0.280487804878049;0.231707317073171;0.25609756097561;0.219512195121951;0.25609756097561;0.207317073170732;0.280487804878049;0.231707317073171;0.231707317073171;0.268292682926829;0.268292682926829;0.207317073170732;0.329268292682927;0.292682926829268;0.25609756097561;0.231707317073171;0.280487804878049;0.231707317073171;0.268292682926829;0.24390243902439;0.182926829268293;0.219512195121951;0.207317073170732;0.280487804878049;0.317073170731707;0.219512195121951;0.25609756097561;0.25609756097561;0.219512195121951;0.304878048780488;0.268292682926829;0.304878048780488;0.231707317073171;0.280487804878049;0.24390243902439;0.24390243902439;0.341463414634146;0.292682926829268;0.341463414634146;0.317073170731707;0.195121951219512;0.25609756097561;0.207317073170732;0.329268292682927;0.24390243902439;0.219512195121951;0.24390243902439;0.365853658536585;0.292682926829268;0.292682926829268;0.182926829268293;0.195121951219512;0.268292682926829;0.219512195121951;0.268292682926829;0.292682926829268;0.219512195121951;0.304878048780488;0.292682926829268;0.207317073170732;0.207317073170732;0.25609756097561;0.292682926829268;0.207317073170732;0.231707317073171;0.25609756097561;0.25609756097561;0.317073170731707;0.317073170731707;0.292682926829268;0.146341463414634;0.25609756097561;0.317073170731707;0.292682926829268;0.280487804878049;0.182926829268293;0.231707317073171;0.195121951219512;0.231707317073171;0.329268292682927;0.207317073170732;0.24390243902439;0.24390243902439;0.231707317073171	0.151162790697674;0.162790697674419;0.127906976744186;0.255813953488372;0.162790697674419;0.186046511627907;0.186046511627907;0.151162790697674;0.13953488372093;0.186046511627907;0.232558139534884;0.209302325581395;0.174418604651163;0.209302325581395;0.186046511627907;0.232558139534884;0.255813953488372;0.197674418604651;0.22093023255814;0.162790697674419;0.27906976744186;0.209302325581395;0.162790697674419;0.209302325581395;0.209302325581395;0.232558139534884;0.162790697674419;0.232558139534884;0.244186046511628;0.174418604651163;0.232558139534884;0.232558139534884;0.13953488372093;0.197674418604651;0.174418604651163;0.209302325581395;0.197674418604651;0.162790697674419;0.174418604651163;0.197674418604651;0.186046511627907;0.209302325581395;0.186046511627907;0.127906976744186;0.174418604651163;0.22093023255814;0.232558139534884;0.186046511627907;0.244186046511628;0.151162790697674;0.209302325581395;0.22093023255814;0.197674418604651;0.232558139534884;0.209302325581395;0.174418604651163;0.127906976744186;0.162790697674419;0.174418604651163;0.162790697674419;0.162790697674419;0.209302325581395;0.255813953488372;0.116279069767442;0.151162790697674;0.186046511627907;0.162790697674419;0.22093023255814;0.22093023255814;0.22093023255814;0.232558139534884;0.174418604651163;0.13953488372093;0.104651162790698;0.151162790697674;0.232558139534884;0.186046511627907;0.13953488372093;0.244186046511628;0.209302325581395;0.186046511627907;0.186046511627907;0.244186046511628;0.116279069767442;0.127906976744186;0.13953488372093;0.13953488372093;0.186046511627907;0.209302325581395;0.186046511627907;0.162790697674419;0.162790697674419;0.197674418604651;0.186046511627907
Skin sensitivity to sun	0.25;0.25;0.25;0.125;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.125;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.125;0.25;0.5;0.25;0.25;0.25;0.25;0.125;0.25;0.25;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25	0.4;0.2;0.2;0.2;0;0.3;0;0;0.2;0.1;0;0;0;0.2;0;0;0;0.1;0.2;0.1;0;0.1;0;0.2;0.1;0;0;0.1;0.1;0;0.2;0.2;0.1;0;0;0.1;0.2;0.3;0.1;0;0.2;0.2;0;0.3;0;0;0;0.1;0;0.2;0.2;0;0.2;0.1;0.1;0.1;0;0;0;0.3;0.2;0.2;0.1;0;0.3;0.2;0;0.2;0.1;0;0.2;0;0;0.1;0.3;0.1;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0;0.1;0.1;0;0.1;0.1;0.1;0.1;0.1
